Shipping ID,Ship Mode,Courier,Order Date,Delivered Date,Delivery Timing,"City, State and Postal code"
AG-2023-261749,Standard Class,HomeLaju,2023-05-08,2023-06-07,Late,Kuching-Sarawak-93000
AG-2023-2728572,Standard Class,Hero Van,2023-05-04,2023-05-24,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-2963245,Standard Class,Parcel Express,2023-05-23,2023-06-02,Early,George Town-Penang-10200
AG-2023-3032982,Standard Class,HomeLaju,2023-05-03,2023-06-02,Late,Johor Bahru-Johor-80000
AG-2023-3063469,Standard Class,HomeLaju,2023-05-16,2023-05-26,Early,Kota Kinabalu-Sabah-88000
AG-2023-3078752,Standard Class,Parcel Express,2023-05-04,2023-05-14,Early,Kuching-Sarawak-93000
AG-2023-321771,First Class,HomeLaju,2023-05-15,2023-06-14,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-3234894,First Class,Parcel Express,2023-05-26,2023-06-15,On time,George Town-Penang-10200
AG-2023-3236544,First Class,HomeLaju,2023-05-12,2023-06-11,Late,Johor Bahru-Johor-80000
AG-2023-3261303,First Class,Parcel Express,2023-05-20,2023-06-09,On time,Kota Kinabalu-Sabah-88000
AG-2023-3407916,First Class,Parcel Express,2023-05-14,2023-06-13,Late,Kuching-Sarawak-93000
AG-2023-3416342,First Class,Parcel Express,2023-05-12,2023-05-22,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-347262,First Class,Hero Van,2023-05-28,2023-06-07,Early,George Town-Penang-10200
AG-2023-3495968,Standard Class,HomeLaju,2023-05-22,2023-06-01,Early,Johor Bahru-Johor-80000
AG-2023-3587241,Standard Class,HomeLaju,2023-05-04,2023-06-03,Late,Kota Kinabalu-Sabah-88000
AG-2023-3601342,Standard Class,HomeLaju,2023-05-28,2023-06-27,Late,Kuching-Sarawak-93000
AG-2023-3643592,Standard Class,HomeLaju,2023-05-26,2023-06-25,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-368362,Standard Class,Hero Van,2023-05-04,2023-06-03,Late,George Town-Penang-10200
AG-2023-3689627,Standard Class,Hero Van,2023-05-24,2023-06-23,Late,Johor Bahru-Johor-80000
AG-2023-3716740,Standard Class,Parcel Express,2023-05-27,2023-06-26,Late,Kota Kinabalu-Sabah-88000
AG-2023-3734094,First Class,Parcel Express,2023-05-05,2023-06-04,Late,Kuching-Sarawak-93000
AG-2023-3737022,Standard Class,HomeLaju,2023-05-22,2023-06-21,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-3775104,Second Class,Parcel Express,2023-05-10,2023-06-09,Late,George Town-Penang-10200
AG-2023-3821798,Standard Class,HomeLaju,2023-05-07,2023-05-17,Early,Johor Bahru-Johor-80000
AG-2023-3909562,Standard Class,Parcel Express,2023-05-05,2023-05-15,Early,Kota Kinabalu-Sabah-88000
AG-2023-3960042,Standard Class,Hero Van,2023-05-11,2023-06-10,Late,Kuching-Sarawak-93000
AG-2023-4165111,First Class,HomeLaju,2023-05-27,2023-06-26,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-4177910,First Class,Hero Van,2023-05-01,2023-05-11,Early,George Town-Penang-10200
AG-2023-4211678,First Class,Hero Van,2023-05-22,2023-06-21,Late,Johor Bahru-Johor-80000
AG-2023-4211735,Second Class,Hero Van,2023-05-26,2023-06-05,Early,Kota Kinabalu-Sabah-88000
AG-2023-4280,First Class,Hero Van,2023-05-04,2023-05-24,On time,Kuching-Sarawak-93000
AG-2023-4361729,First Class,Hero Van,2023-05-13,2023-06-12,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-4594602,Standard Class,HomeLaju,2023-05-02,2023-06-01,Late,George Town-Penang-10200
AG-2023-4595259,Standard Class,Parcel Express,2023-05-24,2023-06-23,Late,Johor Bahru-Johor-80000
AG-2023-4605871,Standard Class,HomeLaju,2023-05-19,2023-06-18,Late,Kota Kinabalu-Sabah-88000
AG-2023-4607226,First Class,Hero Van,2023-05-11,2023-05-31,On time,Kuching-Sarawak-93000
AG-2023-4700530,Second Class,Hero Van,2023-05-07,2023-05-17,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-4704536,Standard Class,Hero Van,2023-05-14,2023-06-13,Late,George Town-Penang-10200
AG-2023-477736,Standard Class,Hero Van,2023-05-03,2023-05-13,Early,Johor Bahru-Johor-80000
AG-2023-4778587,Second Class,Parcel Express,2023-05-26,2023-06-25,Late,Kota Kinabalu-Sabah-88000
AG-2023-4840,Standard Class,HomeLaju,2023-05-06,2023-05-26,On time,Kuching-Sarawak-93000
AG-2023-4958665,Standard Class,HomeLaju,2023-05-05,2023-06-04,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-4962618,Standard Class,Hero Van,2023-05-10,2023-05-20,Early,George Town-Penang-10200
AG-2023-4999498,Second Class,Parcel Express,2023-05-08,2023-05-18,Early,Johor Bahru-Johor-80000
AG-2023-5125188,Second Class,HomeLaju,2023-05-02,2023-05-22,On time,Kota Kinabalu-Sabah-88000
AG-2023-5227168,Second Class,Parcel Express,2023-05-15,2023-06-14,Late,Kuching-Sarawak-93000
AG-2023-5240510,Standard Class,HomeLaju,2023-05-04,2023-06-03,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-5259592,Second Class,Parcel Express,2023-05-02,2023-06-01,Late,George Town-Penang-10200
AG-2023-5285584,First Class,Parcel Express,2023-05-13,2023-06-12,Late,Johor Bahru-Johor-80000
AG-2023-5291920,Standard Class,HomeLaju,2023-05-11,2023-05-31,On time,Kota Kinabalu-Sabah-88000
AG-2023-5382877,Standard Class,Hero Van,2023-05-18,2023-06-17,Late,Kuching-Sarawak-93000
AG-2023-553166,Standard Class,Parcel Express,2023-05-04,2023-05-24,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-5618265,Standard Class,HomeLaju,2023-05-28,2023-06-17,On time,George Town-Penang-10200
AG-2023-5619756,Second Class,HomeLaju,2023-05-13,2023-05-23,Early,Johor Bahru-Johor-80000
AG-2023-5678242,Standard Class,Hero Van,2023-05-04,2023-05-14,Early,Kota Kinabalu-Sabah-88000
AG-2023-5715012,Standard Class,HomeLaju,2023-05-21,2023-05-31,Early,Kuching-Sarawak-93000
AG-2023-5796616,Standard Class,Hero Van,2023-05-06,2023-05-26,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-5798919,Standard Class,HomeLaju,2023-05-25,2023-06-24,Late,George Town-Penang-10200
AG-2023-5829085,Standard Class,Hero Van,2023-05-01,2023-05-31,Late,Johor Bahru-Johor-80000
AG-2023-5832529,Standard Class,Hero Van,2023-05-24,2023-06-03,Early,Kota Kinabalu-Sabah-88000
AG-2023-5881738,Standard Class,Parcel Express,2023-05-25,2023-06-24,Late,Kuching-Sarawak-93000
AG-2023-5892508,Standard Class,HomeLaju,2023-05-04,2023-06-03,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-5941148,Standard Class,Hero Van,2023-05-16,2023-05-26,Early,George Town-Penang-10200
AG-2023-6310,Standard Class,Parcel Express,2023-05-10,2023-06-09,Late,Johor Bahru-Johor-80000
AG-2023-64548,Second Class,HomeLaju,2023-05-07,2023-05-17,Early,Kota Kinabalu-Sabah-88000
AG-2023-736723,Second Class,Hero Van,2023-05-27,2023-06-26,Late,Kuching-Sarawak-93000
AG-2023-737230,Second Class,HomeLaju,2023-05-12,2023-05-22,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-744848,Second Class,Parcel Express,2023-05-15,2023-05-25,Early,George Town-Penang-10200
AG-2023-751740,Standard Class,HomeLaju,2023-05-11,2023-05-31,On time,Johor Bahru-Johor-80000
AG-2023-808910,Standard Class,Parcel Express,2023-05-20,2023-06-19,Late,Kota Kinabalu-Sabah-88000
AG-2023-8240,First Class,Hero Van,2023-05-27,2023-06-26,Late,Kuching-Sarawak-93000
AG-2023-845356,First Class,HomeLaju,2023-05-12,2023-05-22,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AJ-2023-1682214,First Class,Hero Van,2023-05-12,2023-06-01,On time,George Town-Penang-10200
AJ-2023-2545132,First Class,HomeLaju,2023-05-19,2023-05-29,Early,Johor Bahru-Johor-80000
AJ-2023-2722694,First Class,Parcel Express,2023-05-04,2023-05-14,Early,Kota Kinabalu-Sabah-88000
AJ-2023-2914878,Second Class,Parcel Express,2023-05-08,2023-05-18,Early,Kuching-Sarawak-93000
AJ-2023-3339177,Standard Class,Parcel Express,2023-05-20,2023-06-19,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AJ-2023-3339668,Standard Class,HomeLaju,2023-05-24,2023-06-23,Late,George Town-Penang-10200
AJ-2023-454413,Standard Class,Parcel Express,2023-05-14,2023-06-13,Late,Johor Bahru-Johor-80000
AJ-2023-4661958,Second Class,Parcel Express,2023-05-01,2023-05-21,On time,Kota Kinabalu-Sabah-88000
AJ-2023-4791997,Second Class,Parcel Express,2023-05-08,2023-05-28,On time,Kuching-Sarawak-93000
AJ-2023-5628145,First Class,Hero Van,2023-05-02,2023-05-12,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AJ-2023-5689286,First Class,Hero Van,2023-05-17,2023-05-27,Early,George Town-Penang-10200
AJ-2023-5740,First Class,HomeLaju,2023-05-04,2023-05-14,Early,Johor Bahru-Johor-80000
AJ-2023-761549,Standard Class,Parcel Express,2023-05-12,2023-06-11,Late,Kota Kinabalu-Sabah-88000
AJ-2023-868136,Standard Class,Parcel Express,2023-05-08,2023-05-18,Early,Kuching-Sarawak-93000
AL-2023-1451423,Standard Class,Parcel Express,2023-05-22,2023-06-11,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AL-2023-1880384,Standard Class,Hero Van,2023-05-17,2023-06-06,On time,George Town-Penang-10200
AO-2023-1219266,Standard Class,Hero Van,2023-05-25,2023-06-14,On time,Johor Bahru-Johor-80000
AO-2023-1248287,Standard Class,HomeLaju,2023-05-03,2023-06-02,Late,Kota Kinabalu-Sabah-88000
AO-2023-138662,Standard Class,HomeLaju,2023-05-07,2023-06-06,Late,Kuching-Sarawak-93000
AO-2023-1559605,Second Class,HomeLaju,2023-05-22,2023-06-21,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-1588948,Standard Class,Hero Van,2023-05-03,2023-06-02,#DIV/0!,George Town-Penang-10200
AO-2023-16205,Standard Class,Parcel Express,2023-05-12,2023-05-22,#DIV/0!,Johor Bahru-Johor-80000
AO-2023-1693964,Standard Class,HomeLaju,2023-05-16,2023-05-26,#DIV/0!,Kota Kinabalu-Sabah-88000
AO-2023-1734243,Standard Class,HomeLaju,2023-05-09,2023-05-19,#DIV/0!,Kuching-Sarawak-93000
AO-2023-1961315,Standard Class,Parcel Express,2023-05-10,2023-05-30,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-2117997,Standard Class,HomeLaju,2023-05-08,2023-05-28,#DIV/0!,George Town-Penang-10200
AO-2023-2198279,Standard Class,Parcel Express,2023-05-11,2023-05-31,#DIV/0!,Johor Bahru-Johor-80000
AO-2023-2240837,Standard Class,HomeLaju,2023-05-25,2023-06-24,#DIV/0!,Kota Kinabalu-Sabah-88000
AO-2023-2250964,Standard Class,Hero Van,2023-05-23,2023-06-02,#DIV/0!,Kuching-Sarawak-93000
AO-2023-2301292,Standard Class,Hero Van,2023-05-04,2023-05-24,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-2396323,First Class,Parcel Express,2023-05-02,2023-05-22,#DIV/0!,George Town-Penang-10200
AO-2023-2407222,First Class,Parcel Express,2023-05-06,2023-05-26,#DIV/0!,Johor Bahru-Johor-80000
AO-2023-2431769,First Class,HomeLaju,2023-05-05,2023-06-04,#DIV/0!,Kota Kinabalu-Sabah-88000
AO-2023-247162,First Class,Hero Van,2023-05-16,2023-06-05,On time,Kuching-Sarawak-93000
AO-2023-247334,First Class,Parcel Express,2023-05-23,2023-06-12,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-2544428,Standard Class,Hero Van,2023-05-06,2023-05-26,On time,George Town-Penang-10200
AO-2023-2629517,Second Class,HomeLaju,2023-05-16,2023-06-05,On time,Johor Bahru-Johor-80000
AO-2023-2652478,Standard Class,Parcel Express,2023-05-15,2023-06-14,Late,Kota Kinabalu-Sabah-88000
AO-2023-265962,Standard Class,Parcel Express,2023-05-19,2023-05-29,Early,Kuching-Sarawak-93000
AO-2023-2730,First Class,HomeLaju,2023-05-18,2023-06-17,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-279743,Second Class,Hero Van,2023-05-28,2023-06-27,Late,George Town-Penang-10200
AO-2023-2922182,Standard Class,HomeLaju,2023-05-27,2023-06-06,Early,Johor Bahru-Johor-80000
AO-2023-2971012,Standard Class,HomeLaju,2023-05-08,2023-05-18,Early,Kota Kinabalu-Sabah-88000
AO-2023-3111164,Standard Class,Parcel Express,2023-05-01,2023-05-11,Early,Kuching-Sarawak-93000
AO-2023-3196419,Standard Class,Parcel Express,2023-05-11,2023-05-31,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-330924,Standard Class,Parcel Express,2023-05-25,2023-06-04,Early,George Town-Penang-10200
AO-2023-3449047,Standard Class,HomeLaju,2023-05-05,2023-06-04,Late,Johor Bahru-Johor-80000
AO-2023-3570194,Standard Class,Hero Van,2023-05-12,2023-05-22,Early,Kota Kinabalu-Sabah-88000
AO-2023-3579945,Standard Class,Parcel Express,2023-05-18,2023-05-28,Early,Kuching-Sarawak-93000
AO-2023-3819234,Standard Class,HomeLaju,2023-05-18,2023-06-07,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-3849789,Standard Class,Hero Van,2023-05-23,2023-06-02,Early,George Town-Penang-10200
AO-2023-3958138,Standard Class,HomeLaju,2023-05-27,2023-06-26,Late,Johor Bahru-Johor-80000
AO-2023-4083475,Standard Class,Parcel Express,2023-05-03,2023-05-23,On time,Kota Kinabalu-Sabah-88000
AO-2023-4147387,Standard Class,Hero Van,2023-05-01,2023-05-21,On time,Kuching-Sarawak-93000
AO-2023-4462137,Standard Class,HomeLaju,2023-05-24,2023-06-03,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-4473901,Second Class,HomeLaju,2023-05-24,2023-06-13,On time,George Town-Penang-10200
AO-2023-4554868,Second Class,Hero Van,2023-05-24,2023-06-13,On time,Johor Bahru-Johor-80000
AO-2023-4572456,Second Class,Hero Van,2023-05-09,2023-05-19,Early,Kota Kinabalu-Sabah-88000
AO-2023-4830775,Standard Class,HomeLaju,2023-05-20,2023-05-30,Early,Kuching-Sarawak-93000
AO-2023-4863267,Second Class,Hero Van,2023-05-12,2023-06-11,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-4871874,Second Class,HomeLaju,2023-05-25,2023-06-14,On time,George Town-Penang-10200
AO-2023-494813,Second Class,Parcel Express,2023-05-22,2023-06-01,Early,Johor Bahru-Johor-80000
AO-2023-5475072,Second Class,Hero Van,2023-05-11,2023-06-10,Late,Kota Kinabalu-Sabah-88000
AO-2023-5576371,Second Class,HomeLaju,2023-05-28,2023-06-27,Late,Kuching-Sarawak-93000
AO-2023-5593152,Standard Class,HomeLaju,2023-05-06,2023-06-05,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AO-2023-5623908,Standard Class,Parcel Express,2023-05-25,2023-06-24,Late,George Town-Penang-10200
AO-2023-651543,Standard Class,Hero Van,2023-05-13,2023-05-23,Early,Johor Bahru-Johor-80000
AO-2023-8250,Standard Class,Hero Van,2023-05-16,2023-05-26,Early,Kota Kinabalu-Sabah-88000
AO-2023-95644,First Class,HomeLaju,2023-05-13,2023-06-02,On time,Kuching-Sarawak-93000
AU-2023-1029672,First Class,HomeLaju,2023-05-25,2023-06-04,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-1131036,First Class,HomeLaju,2023-05-17,2023-06-16,Late,George Town-Penang-10200
AU-2023-1148689,First Class,Parcel Express,2023-05-10,2023-05-30,On time,Johor Bahru-Johor-80000
AU-2023-1194961,First Class,Hero Van,2023-05-11,2023-05-21,Early,Kota Kinabalu-Sabah-88000
AU-2023-1280550,Standard Class,Parcel Express,2023-05-20,2023-06-09,On time,Kuching-Sarawak-93000
AU-2023-1306303,Standard Class,Parcel Express,2023-05-12,2023-05-22,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-1407800,Standard Class,HomeLaju,2023-05-03,2023-05-13,Early,George Town-Penang-10200
AU-2023-1655627,Standard Class,Hero Van,2023-05-03,2023-05-13,Early,Johor Bahru-Johor-80000
AU-2023-1655785,Standard Class,Hero Van,2023-05-01,2023-05-31,Late,Kota Kinabalu-Sabah-88000
AU-2023-1799597,Standard Class,HomeLaju,2023-05-07,2023-05-27,On time,Kuching-Sarawak-93000
AU-2023-1855850,Standard Class,HomeLaju,2023-05-25,2023-06-14,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-1894162,First Class,Parcel Express,2023-05-16,2023-06-15,Late,George Town-Penang-10200
AU-2023-2023414,First Class,Hero Van,2023-05-27,2023-06-16,On time,Johor Bahru-Johor-80000
AU-2023-2351100,Second Class,HomeLaju,2023-05-12,2023-06-01,On time,Kota Kinabalu-Sabah-88000
AU-2023-2360561,Standard Class,HomeLaju,2023-05-18,2023-06-17,Late,Kuching-Sarawak-93000
AU-2023-2712319,Standard Class,Parcel Express,2023-05-06,2023-05-26,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-2790552,Standard Class,HomeLaju,2023-05-10,2023-05-30,On time,George Town-Penang-10200
AU-2023-2903013,Standard Class,Parcel Express,2023-05-09,2023-05-19,Early,Johor Bahru-Johor-80000
AU-2023-2982817,Standard Class,Hero Van,2023-05-05,2023-05-25,On time,Kota Kinabalu-Sabah-88000
AU-2023-3186096,Standard Class,Parcel Express,2023-05-05,2023-05-25,On time,Kuching-Sarawak-93000
AU-2023-3193496,Standard Class,HomeLaju,2023-05-02,2023-05-22,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-3222327,Second Class,HomeLaju,2023-05-12,2023-06-01,On time,George Town-Penang-10200
AU-2023-3315814,Standard Class,Hero Van,2023-05-26,2023-06-25,Late,Johor Bahru-Johor-80000
AU-2023-3345047,Standard Class,Parcel Express,2023-05-19,2023-05-29,Early,Kota Kinabalu-Sabah-88000
AU-2023-3354016,Standard Class,Parcel Express,2023-05-26,2023-06-25,Late,Kuching-Sarawak-93000
AU-2023-3628943,Standard Class,Parcel Express,2023-05-07,2023-05-27,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-3808334,Standard Class,HomeLaju,2023-05-05,2023-06-04,Late,George Town-Penang-10200
AU-2023-394763,Standard Class,HomeLaju,2023-05-17,2023-06-16,Late,Johor Bahru-Johor-80000
AU-2023-4120335,Standard Class,Hero Van,2023-05-25,2023-06-14,On time,Kota Kinabalu-Sabah-88000
AU-2023-4390887,First Class,Hero Van,2023-05-18,2023-05-28,Early,Kuching-Sarawak-93000
AU-2023-4394362,First Class,HomeLaju,2023-05-02,2023-05-22,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-4604368,First Class,Parcel Express,2023-05-16,2023-05-26,Early,George Town-Penang-10200
AU-2023-48694,First Class,Parcel Express,2023-05-21,2023-06-20,Late,Johor Bahru-Johor-80000
AU-2023-5137764,First Class,HomeLaju,2023-05-05,2023-05-25,On time,Kota Kinabalu-Sabah-88000
AU-2023-5281104,First Class,Hero Van,2023-05-10,2023-05-30,On time,Kuching-Sarawak-93000
AU-2023-5298667,Standard Class,Hero Van,2023-05-20,2023-06-19,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-5419250,Standard Class,Parcel Express,2023-05-27,2023-06-26,Late,George Town-Penang-10200
AU-2023-5434377,Standard Class,Hero Van,2023-05-20,2023-06-09,On time,Johor Bahru-Johor-80000
AU-2023-5486839,Standard Class,HomeLaju,2023-05-05,2023-05-25,On time,Kota Kinabalu-Sabah-88000
AU-2023-5493346,Standard Class,Hero Van,2023-05-28,2023-06-27,Late,Kuching-Sarawak-93000
AU-2023-5531389,Standard Class,HomeLaju,2023-05-04,2023-06-03,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-5569864,Standard Class,HomeLaju,2023-05-07,2023-05-27,On time,George Town-Penang-10200
AU-2023-5712645,Standard Class,Parcel Express,2023-05-10,2023-06-09,Late,Johor Bahru-Johor-80000
AU-2023-5718633,Standard Class,HomeLaju,2023-05-24,2023-06-23,Late,Kota Kinabalu-Sabah-88000
AU-2023-5830843,Standard Class,HomeLaju,2023-05-06,2023-05-16,Early,Kuching-Sarawak-93000
AU-2023-5963820,Standard Class,Hero Van,2023-05-28,2023-06-17,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AU-2023-643177,Standard Class,HomeLaju,2023-05-11,2023-06-10,Late,George Town-Penang-10200
AU-2023-760452,Second Class,HomeLaju,2023-05-12,2023-06-01,On time,Johor Bahru-Johor-80000
AU-2023-763302,Second Class,Parcel Express,2023-05-04,2023-05-14,Early,Kota Kinabalu-Sabah-88000
AU-2023-859763,Second Class,Hero Van,2023-05-21,2023-06-20,Late,Kuching-Sarawak-93000
BK-2023-2509707,Second Class,Parcel Express,2023-05-08,2023-05-18,Early,Kuala Lumpur-Wilayah Persekutuan-50000
BK-2023-2770,Second Class,Hero Van,2023-05-24,2023-06-03,Early,George Town-Penang-10200
BK-2023-3520935,Second Class,Parcel Express,2023-05-12,2023-06-01,On time,Johor Bahru-Johor-80000
BK-2023-4385709,Second Class,Hero Van,2023-05-04,2023-05-14,Early,Kota Kinabalu-Sabah-88000
BK-2023-5161253,Second Class,Parcel Express,2023-05-10,2023-05-30,On time,Kuching-Sarawak-93000
BK-2023-5265340,Second Class,Parcel Express,2023-05-10,2023-06-09,Late,Kuala Lumpur-Wilayah Persekutuan-50000
BK-2023-5475017,Second Class,HomeLaju,2023-05-07,2023-05-27,On time,George Town-Penang-10200
