Order ID,Order Date,Ship Code,Ship Reference Number,Shipping ID,Payment method,Customer ID,Product Category ID,Sales,Quantity,Discount,Profit
OD0045,2023-05-02,AG-2023,2384745,AG-2023-2384745,Visa,CS0045,TEC001,45.98,2,0,19.7714
OD0046,2023-05-06,AG-2023,2424042,AG-2023-2424042,Mastercard,CS0046,OS003,17.46,2,0,8.2062
OD0047,2023-05-05,AG-2023,2448243,AG-2023-2448243,Visa,CS0047,OS008,211.96,4,0,8.4784
OD0048,2023-05-02,AG-2023,2455899,AG-2023-2455899,Mastercard,CS0048,TEC001,45,3,0,4.95
OD0049,2023-05-25,AG-2023,2534608,AG-2023-2534608,Mastercard,CS0049,TEC004,21.8,2,0,6.104
OD0050,2023-05-08,AG-2023,261749,AG-2023-261749,Visa,CS0050,OS003,38.22,6,0,17.9634
OD0051,2023-05-04,AG-2023,2728572,AG-2023-2728572,Visa,CS0051,OS006,75.18,6,0,35.3346
OD0052,2023-05-23,AG-2023,2963245,AG-2023-2963245,Mastercard,CS0052,FUR003,6.16,2,0,2.9568
OD0053,2023-05-03,AG-2023,3032982,AG-2023-3032982,Mastercard,CS0053,FUR002,89.99,1,0,17.0981
OD0054,2023-05-16,AG-2023,3063469,AG-2023-3063469,Mastercard,CS0054,OS005,15.26,7,0,6.2566
OD0055,2023-05-04,AG-2023,3078752,AG-2023-3078752,Mastercard,CS0055,TEC004,1029.95,5,0,298.6855
OD0056,2023-05-15,AG-2023,321771,AG-2023-321771,Visa,CS0056,OS008,208.56,6,0,52.14
OD0057,2023-05-26,AG-2023,3234894,AG-2023-3234894,Mastercard,CS0057,OS007,32.4,5,0,15.552
OD0058,2023-05-12,AG-2023,3236544,AG-2023-3236544,Mastercard,CS0058,FUR002,319.41,5,0.1,7.098
OD0059,2023-05-20,AG-2023,3261303,AG-2023-3261303,Mastercard,CS0059,OS007,14.56,2,0,6.9888
OD0060,2023-05-14,AG-2023,3407916,AG-2023-3407916,Mastercard,CS0060,TEC001,30,2,0,3.3
OD0061,2023-05-12,AG-2023,3416342,AG-2023-3416342,Visa,CS0061,OS003,48.48,4,0.2,16.362
OD0062,2023-05-28,AG-2023,347262,AG-2023-347262,Mastercard,CS0062,OS002,1.68,1,0,0.84
OD0063,2023-05-22,AG-2023,3495968,AG-2023-3495968,Mastercard,CS0063,TEC001,13.98,2,0,6.1512
OD0064,2023-05-04,AG-2023,3587241,AG-2023-3587241,Visa,CS0064,OS003,25.824,6,0.2,9.3612
OD0065,2023-05-28,AG-2023,3601342,AG-2023-3601342,Visa,CS0065,OS007,146.73,3,0,68.9631
OD0066,2023-05-26,AG-2023,3643592,AG-2023-3643592,Visa,CS0066,FUR003,79.76,4,0,22.3328
OD0067,2023-05-04,AG-2023,368362,AG-2023-368362,Mastercard,CS0067,FUR002,213.115,5,0.3,-15.2225
OD0068,2023-05-24,AG-2023,3689627,AG-2023-3689627,Mastercard,CS0068,OS002,1113.024,8,0.2,111.3024
OD0069,2023-05-27,AG-2023,3716740,AG-2023-3716740,Visa,CS0069,TEC004,167.968,4,0.2,62.988
OD0070,2023-05-05,AG-2023,3734094,AG-2023-3734094,Mastercard,CS0070,OS007,75.88,2,0,35.6636
OD0071,2023-05-22,AG-2023,3737022,AG-2023-3737022,Mastercard,CS0071,OS003,4.616,1,0.2,1.731
OD0072,2023-05-10,AG-2023,3775104,AG-2023-3775104,Mastercard,CS0072,OS007,19.05,3,0,8.763
OD0073,2023-05-07,AG-2023,3821798,AG-2023-3821798,Mastercard,CS0073,FUR002,831.936,8,0.2,-114.3912
OD0074,2023-05-05,AG-2023,3909562,AG-2023-3909562,E-wallet,CS0074,FUR003,97.04,2,0.2,1.213
OD0075,2023-05-11,AG-2023,3960042,AG-2023-3960042,Mastercard,CS0075,OS008,72.784,1,0.2,-18.196
OD0076,2023-05-27,AG-2023,4165111,AG-2023-4165111,Mastercard,CS0076,OS003,1.248,3,0.8,-1.9344
OD0077,2023-05-01,AG-2023,4177910,AG-2023-4177910,Mastercard,CS0077,FUR003,9.708,3,0.6,-5.8248
OD0078,2023-05-22,AG-2023,4211678,AG-2023-4211678,Visa,CS0078,OS008,27.24,3,0.2,2.724
OD0079,2023-05-26,AG-2023,4211735,AG-2023-4211735,Visa,CS0079,FUR003,19.3,5,0.6,-14.475
OD0080,2023-05-04,AG-2023,4280,AG-2023-4280,Visa,CS0080,OS001,208.16,1,0,56.2032
OD0081,2023-05-13,AG-2023,4361729,AG-2023-4361729,E-wallet,CS0081,OS003,16.74,3,0,8.0352
OD0082,2023-05-02,AG-2023,4594602,AG-2023-4594602,Visa,CS0082,OS002,14.9,5,0,4.172
OD0083,2023-05-24,AG-2023,4595259,AG-2023-4595259,Mastercard,CS0083,OS008,21.39,1,0,6.2031
OD0084,2023-05-19,AG-2023,4605871,AG-2023-4605871,Mastercard,CS0084,OS004,200.984,7,0.2,62.8075
OD0085,2023-05-11,AG-2023,4607226,AG-2023-4607226,Visa,CS0085,OS008,230.376,3,0.2,-48.9549
OD0086,2023-05-07,AG-2023,4700530,AG-2023-4700530,Visa,CS0086,FUR002,301.96,2,0,33.2156
OD0087,2023-05-14,AG-2023,4704536,AG-2023-4704536,Visa,CS0087,TEC001,19.99,1,0,6.7966
OD0088,2023-05-03,AG-2023,477736,AG-2023-477736,E-wallet,CS0088,OS006,6.16,2,0,2.9568
OD0089,2023-05-26,AG-2023,4778587,AG-2023-4778587,Visa,CS0089,OS008,158.368,7,0.2,13.8572
OD0090,2023-05-06,AG-2023,4840,AG-2023-4840,Mastercard,CS0090,OS002,20.1,3,0,6.633
OD0091,2023-05-05,AG-2023,4958665,AG-2023-4958665,Visa,CS0091,TEC004,73.584,2,0.2,8.2782
OD0092,2023-05-10,AG-2023,4962618,AG-2023-4962618,Mastercard,CS0092,OS007,6.48,1,0,3.1104
OD0093,2023-05-08,AG-2023,4999498,AG-2023-4999498,Visa,CS0093,OS007,12.96,2,0,6.2208
OD0094,2023-05-02,AG-2023,5125188,AG-2023-5125188,Visa,CS0094,FUR003,53.34,3,0,16.5354
OD0095,2023-05-15,AG-2023,5227168,AG-2023-5227168,Visa,CS0095,OS003,32.96,2,0,16.1504
OD0096,2023-05-04,AG-2023,5240510,AG-2023-5240510,Visa,CS0096,OS003,5.682,1,0.7,-3.788
OD0097,2023-05-02,AG-2023,5259592,AG-2023-5259592,Visa,CS0097,FUR003,96.53,7,0,40.5426
OD0098,2023-05-13,AG-2023,5285584,AG-2023-5285584,Visa,CS0098,OS003,51.312,3,0.2,17.9592
OD0099,2023-05-11,AG-2023,5291920,AG-2023-5291920,Mastercard,CS0099,OS001,77.88,6,0,22.5852
OD0100,2023-05-18,AG-2023,5382877,AG-2023-5382877,Visa,CS0100,OS007,64.624,7,0.2,22.6184
OD0101,2023-05-04,AG-2023,553166,AG-2023-553166,Mastercard,CS0101,TEC001,95.976,3,0.2,-10.7973
OD0102,2023-05-28,AG-2023,5618265,AG-2023-5618265,E-wallet,CS0102,OS003,1.788,3,0.8,-3.0396
OD0103,2023-05-13,AG-2023,5619756,AG-2023-5619756,Mastercard,CS0103,OS007,23.92,4,0,11.7208
OD0104,2023-05-04,AG-2023,5678242,AG-2023-5678242,Mastercard,CS0104,TEC001,238.896,6,0.2,-26.8758
OD0105,2023-05-21,AG-2023,5715012,AG-2023-5715012,Mastercard,CS0105,FUR003,102.36,3,0.2,-3.8385
OD0106,2023-05-06,AG-2023,5796616,AG-2023-5796616,Mastercard,CS0106,OS003,36.882,3,0.7,-25.8174
OD0107,2023-05-25,AG-2023,5798919,AG-2023-5798919,Mastercard,CS0107,TEC001,74.112,8,0.2,17.6016
OD0108,2023-05-01,AG-2023,5829085,AG-2023-5829085,Mastercard,CS0108,TEC004,27.992,1,0.2,2.0994
OD0109,2023-05-24,AG-2023,5832529,AG-2023-5832529,Visa,CS0109,OS002,3.304,1,0.2,1.0738
OD0110,2023-05-25,AG-2023,5881738,AG-2023-5881738,Visa,CS0110,TEC001,339.96,5,0.2,67.992
OD0111,2023-05-04,AG-2023,5892508,AG-2023-5892508,Visa,CS0111,FUR003,41.96,2,0,10.9096
OD0112,2023-05-16,AG-2023,5941148,AG-2023-5941148,Visa,CS0112,OS002,75.96,2,0,22.788
OD0113,2023-05-10,AG-2023,6310,AG-2023-6310,Mastercard,CS0113,OS003,27.24,6,0,13.3476
OD0114,2023-05-07,AG-2023,64548,AG-2023-64548,Visa,CS0114,OS005,40.096,14,0.2,14.5348
OD0115,2023-05-27,AG-2023,736723,AG-2023-736723,Visa,CS0115,OS004,4.72,2,0.2,1.652
OD0116,2023-05-12,AG-2023,737230,AG-2023-737230,Visa,CS0116,OS007,23.976,3,0.2,7.4925
OD0117,2023-05-15,AG-2023,744848,AG-2023-744848,Visa,CS0117,OS004,130.464,6,0.2,44.0316
OD0118,2023-05-11,AG-2023,751740,AG-2023-751740,Mastercard,CS0118,FUR004,787.53,3,0,165.3813
OD0119,2023-05-20,AG-2023,808910,AG-2023-808910,Mastercard,CS0119,OS003,157.794,1,0.7,-115.7156
OD0120,2023-05-27,AG-2023,8240,AG-2023-8240,Visa,CS0120,FUR003,47.04,3,0,18.3456
OD0121,2023-05-12,AG-2023,845356,AG-2023-845356,Visa,CS0121,OS003,30.84,4,0,13.878
OD0122,2023-05-12,AJ-2023,1682214,AJ-2023-1682214,Mastercard,CS0122,OS008,226.56,6,0,63.4368
OD0123,2023-05-19,AJ-2023,2545132,AJ-2023-2545132,Mastercard,CS0123,OS004,115.02,9,0,51.759
OD0124,2023-05-04,AJ-2023,2722694,AJ-2023-2722694,Mastercard,CS0124,TEC004,68.04,7,0,19.7316
OD0125,2023-05-08,AJ-2023,2914878,AJ-2023-2914878,Mastercard,CS0125,FUR002,600.558,3,0.3,-8.5794
OD0126,2023-05-20,AJ-2023,3339177,AJ-2023-3339177,Visa,CS0126,FUR004,617.7,6,0.5,-407.682
OD0127,2023-05-24,AJ-2023,3339668,AJ-2023-3339668,Mastercard,CS0127,OS003,2.388,2,0.7,-1.8308
OD0128,2023-05-14,AJ-2023,454413,AJ-2023-454413,Visa,CS0128,OS008,243.992,7,0.2,30.499
OD0129,2023-05-01,AJ-2023,4661958,AJ-2023-4661958,Visa,CS0129,FUR002,81.424,2,0.2,-9.1602
OD0130,2023-05-08,AJ-2023,4791997,AJ-2023-4791997,Visa,CS0130,FUR003,238.56,3,0,26.2416
OD0131,2023-05-02,AJ-2023,5628145,AJ-2023-5628145,Visa,CS0131,TEC004,59.97,5,0.4,-11.994
OD0132,2023-05-17,AJ-2023,5689286,AJ-2023-5689286,Visa,CS0132,OS007,78.304,2,0.2,29.364
OD0133,2023-05-04,AJ-2023,5740,AJ-2023-5740,Visa,CS0133,OS005,21.456,9,0.2,6.9732
OD0134,2023-05-12,AJ-2023,761549,AJ-2023-761549,Mastercard,CS0134,OS007,20.04,3,0,9.6192
OD0135,2023-05-08,AJ-2023,868136,AJ-2023-868136,Visa,CS0135,OS007,35.44,1,0,16.6568
OD0136,2023-05-22,AL-2023,1451423,AL-2023-1451423,Mastercard,CS0136,OS002,11.52,4,0,3.456
OD0137,2023-05-17,AL-2023,1880384,AL-2023-1880384,Mastercard,CS0137,OS005,4.02,2,0,1.9698
OD0138,2023-05-25,AO-2023,1219266,AO-2023-1219266,E-wallet,CS0138,OS003,76.176,3,0.2,26.6616
OD0139,2023-05-03,AO-2023,1248287,AO-2023-1248287,Visa,CS0139,OS009,65.88,6,0,18.4464
OD0140,2023-05-07,AO-2023,138662,AO-2023-138662,Mastercard,CS0140,FUR003,43.12,14,0,20.6976
OD0141,2023-05-22,AO-2023,1559605,AO-2023-1559605,Mastercard,CS0141,FUR003,82.8,2,0.2,10.35
OD0142,2023-05-03,AO-2023,1588948,AO-2023-1588948,Mastercard,CS0142,OS002,8.82,3,0,2.3814
OD0143,2023-05-12,AO-2023,16205,AO-2023-16205,Visa,CS0143,OS004,10.86,3,0,5.1042
OD0144,2023-05-16,AO-2023,1693964,AO-2023-1693964,E-wallet,CS0144,OS007,143.7,3,0,68.976
OD0145,2023-05-09,AO-2023,1734243,AO-2023-1734243,Visa,CS0145,OS001,839.43,3,0,218.2518
OD0146,2023-05-10,AO-2023,1961315,AO-2023-1961315,Visa,CS0146,OS008,671.93,7,0,20.1579
OD0147,2023-05-08,AO-2023,2117997,AO-2023-2117997,Mastercard,CS0147,FUR003,93.888,4,0.2,12.9096
OD0148,2023-05-11,AO-2023,2198279,AO-2023-2198279,Visa,CS0148,TEC004,384.45,11,0,103.8015
OD0149,2023-05-25,AO-2023,2240837,AO-2023-2240837,Mastercard,CS0149,TEC004,149.97,3,0,5.9988
OD0150,2023-05-23,AO-2023,2250964,AO-2023-2250964,Visa,CS0150,FUR002,1951.84,8,0,585.552
OD0151,2023-05-04,AO-2023,2301292,AO-2023-2301292,Visa,CS0151,OS003,171.55,5,0,80.6285
OD0152,2023-05-02,AO-2023,2396323,AO-2023-2396323,Visa,CS0152,OS001,157.92,5,0.2,17.766
OD0153,2023-05-06,AO-2023,2407222,AO-2023-2407222,Visa,CS0153,TEC004,203.184,2,0.2,15.2388
OD0154,2023-05-05,AO-2023,2431769,AO-2023-2431769,Visa,CS0154,OS007,58.38,7,0,26.271
OD0155,2023-05-16,AO-2023,247162,AO-2023-247162,Mastercard,CS0155,OS007,105.52,4,0,48.5392
OD0156,2023-05-23,AO-2023,247334,AO-2023-247334,Mastercard,CS0156,OS008,80.88,6,0,21.0288
OD0157,2023-05-06,AO-2023,2544428,AO-2023-2544428,Mastercard,CS0157,OS002,6.63,3,0,1.7901
OD0158,2023-05-16,AO-2023,2629517,AO-2023-2629517,Mastercard,CS0158,FUR002,457.568,2,0.2,51.4764
OD0159,2023-05-15,AO-2023,2652478,AO-2023-2652478,Mastercard,CS0159,OS006,14.62,2,0,6.8714
OD0160,2023-05-19,AO-2023,265962,AO-2023-265962,Mastercard,CS0160,TEC004,944.93,7,0,236.2325
OD0161,2023-05-18,AO-2023,2730,AO-2023-2730,Mastercard,CS0161,OS007,5.98,1,0,2.691
OD0162,2023-05-28,AO-2023,279743,AO-2023-279743,Mastercard,CS0162,TEC001,54.384,2,0.2,1.3596
OD0163,2023-05-27,AO-2023,2922182,AO-2023-2922182,Mastercard,CS0163,OS004,28.4,5,0,13.348
OD0164,2023-05-08,AO-2023,2971012,AO-2023-2971012,Mastercard,CS0164,OS003,27.68,2,0.2,9.688
OD0165,2023-05-01,AO-2023,3111164,AO-2023-3111164,Visa,CS0165,OS002,9.936,3,0.2,2.7324
OD0166,2023-05-11,AO-2023,3196419,AO-2023-3196419,Visa,CS0166,TEC003,8159.952,8,0.4,-1359.992
OD0167,2023-05-25,AO-2023,330924,AO-2023-330924,Visa,CS0167,OS008,275.928,3,0.2,-58.6347
OD0168,2023-05-05,AO-2023,3449047,AO-2023-3449047,Visa,CS0168,FUR002,1740.06,9,0.3,-24.858
OD0169,2023-05-12,AO-2023,3570194,AO-2023-3570194,Mastercard,CS0169,OS002,32.064,6,0.2,6.8136
OD0170,2023-05-18,AO-2023,3579945,AO-2023-3579945,Visa,CS0170,OS001,177.98,5,0.8,-453.849
OD0171,2023-05-18,AO-2023,3819234,AO-2023-3819234,Visa,CS0171,TEC004,143.976,3,0.2,8.9985
OD0172,2023-05-23,AO-2023,3849789,AO-2023-3849789,Mastercard,CS0172,OS007,20.94,3,0,9.8418
OD0173,2023-05-27,AO-2023,3958138,AO-2023-3958138,E-wallet,CS0173,OS007,110.96,2,0,53.2608
OD0174,2023-05-03,AO-2023,4083475,AO-2023-4083475,E-wallet,CS0174,FUR002,340.144,7,0.2,21.259
OD0175,2023-05-01,AO-2023,4147387,AO-2023-4147387,E-wallet,CS0175,OS001,52.448,2,0.8,-131.12
OD0176,2023-05-24,AO-2023,4462137,AO-2023-4462137,Visa,CS0176,OS006,20.16,4,0.2,6.552
OD0177,2023-05-24,AO-2023,4473901,AO-2023-4473901,Mastercard,CS0177,OS001,97.264,4,0.8,-243.16
OD0178,2023-05-24,AO-2023,4554868,AO-2023-4554868,Mastercard,CS0178,FUR002,396.802,7,0.3,-11.3372
OD0179,2023-05-09,AO-2023,4572456,AO-2023-4572456,Mastercard,CS0179,OS009,15.88,5,0.2,-3.7715
OD0180,2023-05-20,AO-2023,4830775,AO-2023-4830775,Mastercard,CS0180,OS002,3.28,1,0,1.4104
OD0181,2023-05-12,AO-2023,4863267,AO-2023-4863267,Visa,CS0181,OS008,24.816,2,0.2,1.8612
OD0182,2023-05-25,AO-2023,4871874,AO-2023-4871874,Mastercard,CS0182,TEC001,408.744,7,0.2,76.6395
OD0183,2023-05-22,AO-2023,494813,AO-2023-494813,Mastercard,CS0183,TEC004,503.96,4,0,131.0296
OD0184,2023-05-11,AO-2023,5475072,AO-2023-5475072,Visa,CS0184,TEC004,149.95,5,0,41.986
OD0185,2023-05-28,AO-2023,5576371,AO-2023-5576371,E-wallet,CS0185,TEC001,29,2,0,7.25
OD0186,2023-05-06,AO-2023,5593152,AO-2023-5593152,Visa,CS0186,OS003,7.16,2,0,3.4368
OD0187,2023-05-25,AO-2023,5623908,AO-2023-5623908,Visa,CS0187,TEC001,176.8,8,0,22.984
OD0188,2023-05-13,AO-2023,651543,AO-2023-651543,E-wallet,CS0188,OS008,37.224,3,0.2,3.7224
OD0189,2023-05-16,AO-2023,8250,AO-2023-8250,Visa,CS0189,OS007,20.016,3,0.2,6.255
OD0190,2023-05-13,AO-2023,95644,AO-2023-95644,Visa,CS0190,FUR001,899.136,4,0.2,112.392
OD0191,2023-05-25,AU-2023,1029672,AU-2023-1029672,Visa,CS0191,TEC004,71.76,6,0,20.0928
OD0192,2023-05-17,AU-2023,1131036,AU-2023-1131036,Mastercard,CS0192,OS007,51.84,8,0,24.8832
OD0193,2023-05-10,AU-2023,1148689,AU-2023-1148689,Visa,CS0193,FUR001,626.352,3,0.2,46.9764
OD0194,2023-05-11,AU-2023,1194961,AU-2023-1194961,E-wallet,CS0194,OS002,19.9,5,0,6.567
OD0195,2023-05-20,AU-2023,1280550,AU-2023-1280550,Visa,CS0195,OS004,14.28,7,0,6.7116
OD0196,2023-05-12,AU-2023,1306303,AU-2023-1306303,Mastercard,CS0196,OS002,7.408,2,0.2,1.2038
OD0197,2023-05-03,AU-2023,1407800,AU-2023-1407800,Visa,CS0197,OS002,6.048,3,0.2,1.5876
OD0198,2023-05-03,AU-2023,1655627,AU-2023-1655627,Mastercard,CS0198,OS008,46.26,3,0,12.0276
OD0199,2023-05-01,AU-2023,1655785,AU-2023-1655785,Visa,CS0199,OS003,2.946,2,0.7,-2.2586
OD0200,2023-05-07,AU-2023,1799597,AU-2023-1799597,Mastercard,CS0200,OS007,16.056,3,0.2,5.8203
OD0201,2023-05-25,AU-2023,1855850,AU-2023-1855850,E-wallet,CS0201,OS007,21.744,3,0.2,6.795
OD0202,2023-05-16,AU-2023,1894162,AU-2023-1894162,E-wallet,CS0202,FUR004,218.75,2,0.5,-161.875
OD0203,2023-05-27,AU-2023,2023414,AU-2023-2023414,Visa,CS0203,OS001,2.6,1,0.2,0.2925
OD0204,2023-05-12,AU-2023,2351100,AU-2023-2351100,Visa,CS0204,OS001,66.284,2,0.8,-178.9668
OD0205,2023-05-18,AU-2023,2360561,AU-2023-2360561,Mastercard,CS0205,FUR003,35.168,7,0.2,9.6712
OD0206,2023-05-06,AU-2023,2712319,AU-2023-2712319,E-wallet,CS0206,TEC004,444.768,4,0.2,44.4768
OD0207,2023-05-10,AU-2023,2790552,AU-2023-2790552,Visa,CS0207,OS008,83.92,4,0,5.8744
OD0208,2023-05-09,AU-2023,2903013,AU-2023-2903013,Mastercard,CS0208,TEC004,131.98,2,0,35.6346
OD0209,2023-05-05,AU-2023,2982817,AU-2023-2982817,Visa,CS0209,OS003,15.92,4,0,7.4824
OD0210,2023-05-05,AU-2023,3186096,AU-2023-3186096,Mastercard,CS0210,OS005,52.29,9,0,16.2099
OD0211,2023-05-02,AU-2023,3193496,AU-2023-3193496,E-wallet,CS0211,OS008,91.99,1,0,3.6796
OD0212,2023-05-12,AU-2023,3222327,AU-2023-3222327,Mastercard,CS0212,TEC001,20.8,2,0.2,6.5
OD0213,2023-05-26,AU-2023,3315814,AU-2023-3315814,Visa,CS0213,OS006,23.68,2,0.2,8.88
OD0214,2023-05-19,AU-2023,3345047,AU-2023-3345047,Visa,CS0214,FUR001,452.45,5,0.5,-244.323
OD0215,2023-05-26,AU-2023,3354016,AU-2023-3354016,Visa,CS0215,TEC004,62.982,3,0.4,-14.6958
OD0216,2023-05-07,AU-2023,3628943,AU-2023-3628943,Visa,CS0216,TEC003,1188,9,0.7,-950.4
OD0217,2023-05-05,AU-2023,3808334,AU-2023-3808334,Mastercard,CS0217,TEC001,89.584,2,0.2,4.4792
OD0218,2023-05-17,AU-2023,394763,AU-2023-394763,Visa,CS0218,OS008,93.06,6,0,26.0568
OD0219,2023-05-25,AU-2023,4120335,AU-2023-4120335,Visa,CS0219,TEC004,302.376,3,0.2,22.6782
OD0220,2023-05-18,AU-2023,4390887,AU-2023-4390887,Visa,CS0220,OS005,5.584,2,0.2,1.8148
OD0221,2023-05-02,AU-2023,4394362,AU-2023-4394362,Mastercard,CS0221,OS007,22.704,6,0.2,8.2302
OD0222,2023-05-16,AU-2023,4604368,AU-2023-4604368,Mastercard,CS0222,OS003,19.776,4,0.7,-13.8432
OD0223,2023-05-21,AU-2023,48694,AU-2023-48694,Visa,CS0223,FUR003,72.704,4,0.2,19.0848
OD0224,2023-05-05,AU-2023,5137764,AU-2023-5137764,Visa,CS0224,TEC003,479.988,4,0.7,-383.9904
OD0225,2023-05-10,AU-2023,5281104,AU-2023-5281104,Mastercard,CS0225,OS002,27.168,2,0.2,2.7168
OD0226,2023-05-20,AU-2023,5298667,AU-2023-5298667,Visa,CS0226,OS002,2.2,1,0,0.968
OD0227,2023-05-27,AU-2023,5419250,AU-2023-5419250,Mastercard,CS0227,FUR004,622.45,5,0,136.939
OD0228,2023-05-20,AU-2023,5434377,AU-2023-5434377,E-wallet,CS0228,OS008,21.98,1,0,0.2198
OD0229,2023-05-05,AU-2023,5486839,AU-2023-5486839,E-wallet,CS0229,FUR002,161.568,2,0.2,-28.2744
OD0230,2023-05-28,AU-2023,5493346,AU-2023-5493346,Visa,CS0230,FUR002,389.696,8,0.2,43.8408
